15; 2016.11.04; 1; АНГЛІЙСЬКА; мова
15; 2016.11.04; 3; АНГЛІЙСЬКА; мова
12+16; 2016.10.31; 1; ПСИХОЛОГІЯ(ПР)Д; викл.ПРОКОФ'ЄВАЛ.О.
12+16; 2016.10.31; 2; ЛІНІЙНААЛГЕБРАТААНАЛ.ГЕОМЕТРІЯ; викл.ЩОГОЛЕВАТ.М.
12+16; 2016.10.31; 3; ВСТУПДОФАХУ; доц.МІЗЮКВ.А.
12+16; 2016.10.31; 4; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(ПР); викл.ВОЛКАНОВАН.В.
12+16; 2016.11.01; 1; ІСТОРІЯТАКУЛЬТУРАУКРАЇНИ(+ФУФСН); викл.БАШЛИМ.І.
12+16; 2016.11.01; 2; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.ЯРЧУКГ.В.,ДОЦ.МЕЛЬНИЧУКІ.П.
12+16; 2016.11.01; 3; ВСТУПДОФАХУ; викл.ДМИТРІЄВАМ.В.
12+16; 2016.11.01; 4; ЛІНІЙНААЛГЕБРАТААНАЛ.ГЕОМЕТРІЯ; викл.ЩОГОЛЕВАТ.М.
12+16; 2016.11.01; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; доц.МЕЛЬНИЧУКІ.П.
12+16; 2016.11.02; 1; АНГЛІЙСЬКА; мова
12+16; 2016.11.02; 2; ВСТУПДОФАХУ; викл.ДМИТРІЄВАМ.В.
12+16; 2016.11.02; 3; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
12+16; 2016.11.02; 4; ПСИХОЛОГІЯ(ПР)Д; викл.ПРОКОФ'ЄВАЛ.О.
12+16; 2016.11.03; 2; УКРАЇНСЬКАМОВА(ПР); викл.РОМАНЮКІ.В.
12+16; 2016.11.03; 3; ПСИХОЛОГІЯ; доц.ТЕРЕЩУКР.К.(+ФУФСН+ІНФАК)
12+16; 2016.11.03; 4; ЛІНІЙНААЛГЕБРАТААНАЛ.ГЕОМЕТРІЯ; викл.ЩОГОЛЕВАТ.М.
12+16; 2016.11.04; 1; АНГЛІЙСЬКА; мова
12+16; 2016.11.04; 2; ВСТУПДОФАХУ; викл.ДМИТРІЄВАМ.В.
12+16; 2016.11.04; 3; АНГЛІЙСЬКА; мова
22; 2016.10.31; 1; ДВВ:КОМП'ЮТЕРНАГРАФІКА; викл.КОВАЛЕНКОО.В.
22; 2016.10.31; 2; ПЕДАГОГІЧНЕОЦІНЮВАННЯТАМОНІТОРИНГ(ПР); викл.ЛУНГУЛ.В.
22; 2016.10.31; 3; ФІЛОСОФІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
22; 2016.11.01; 3; ОСНОВИАЛГОРИТМІЗАЦІЇТАМОВИПРОГРАМУВАННЯ(Л); викл.ДУЩЕНКОО.С.
22; 2016.11.01; 4; ДВВ:ЄВРОПЕЙСЬКІАБРИСИПЕДАГОГІКИСОЦІАЛІЗАЦІЇ(ПР); викл.СУЧАНУА.К.
22; 2016.11.01; 5; ОСНОВИАЛГОРИТМІЗАЦІЇТАМОВИПРОГРАМУВАННЯ(ПР); викл.ДУЩЕНКОО.С.
22; 2016.11.01; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.506Г.К); доц.СОРОКАТ.В.
22; 2016.11.02; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.МЕЛЬНИЧУКІ.П.,ВИКЛ.ДОЛЖЕНКОІ.В.,ВИКЛ.БОЧАРОВАТ.В.
22; 2016.11.02; 4; КОМП.МЕРЕЖІТАІНТЕРНЕТ(ПР); викл.КОВАЛЕНКОО.В.
22; 2016.11.02; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; викл.БОЧАРОВАТ.В.
22; 2016.11.02; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.506Г.К); доц.СОРОКАТ.В.
22; 2016.11.03; 3; ОСНОВИЕКОНОМІЧНОЇТЕОРІЇТАПІДПРИЄМНИЦЬКОЇДІЯЛЬНОСТІ(ПР.); викл.МЕТІЛЬТ.К.
22; 2016.11.03; 4; ДВВ:КОМП'ЮТЕРНАГРАФІКА; викл.КОВАЛЕНКОО.В.
22; 2016.11.03; 5; ДВВ:ЄВРОПЕЙСЬКІАБРИСИПЕДАГОГІКИСОЦІАЛІЗАЦІЇ(ПР); викл.СУЧАНУА.К.
22; 2016.11.03; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.506Г.К); доц.СОРОКАТ.В.
22; 2016.11.04; 2; ДВВ:КОМП'ЮТЕРНАГРАФІКА; викл.КОВАЛЕНКОО.В.
22; 2016.11.04; 3; МАТЕМАТ.АНАЛІЗ; викл.ЩОГОЛЄВАТ.М.
22; 2016.11.04; 4; ДВВ:КОМП'ЮТЕРНАГРАФІКА; викл.КОВАЛЕНКОО.В.
22; 2016.11.04; 5; КОМП.МЕРЕЖІТАІНТЕРНЕТ; викл.КОВАЛЕНКОО.В.
23; 2016.10.31; 2; ЕКОНОМІКАПІДПРИЄМСТВА(ПР); доц.СОРОКАЛ.М.
