Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
П'ЯТНИЦЯ      16.09;2;Вища математика викл. Щоголева Т.М.;;;;;;;;;;;;
П'ЯТНИЦЯ      16.09;3;У к р а ї н с ь к а  м о в а    (+ФУФСН)           доц.Мєдвєдєва О.Ю.;У к р а ї н с ь к а  м о в а    (+ФУФСН)           доц.Мєдвєдєва О.Ю.;У к р а ї н с ь к а  м о в а    (+ФУФСН)           доц.Мєдвєдєва О.Ю.;У к р а ї н с ь к а  м о в а    (+ФУФСН)           доц.Мєдвєдєва О.Ю.;У к р а ї н с ь к а  м о в а    (+ФУФСН)           доц.Мєдвєдєва О.Ю.;;;;;;;;
П'ЯТНИЦЯ      16.09;4;А н г л і й с ь к а   м о в а ;А н г л і й с ь к а   м о в а ;А н г л і й с ь к а   м о в а ;А н г л і й с ь к а   м о в а ;А н г л і й с ь к а   м о в а ;;;;;;;;
П'ЯТНИЦЯ      16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;
Дні;Пари;212група;22 група;23 група;24 група;25 група;;;;;;;;
Дні;Пари;Тех. освіта (інформатика);Інформатика ;Економіка підприємства;Туризм;Документознавство;;;;;;;;
ПОНЕДІЛОК    12.09;1;Креслення                                                       викл.Тришин В.В.;Комп.мережі викл. Коваленко О.В.;Математика для економ.                     доц. Івлієва О.М.;;Менеджмент викл.ГилкаУ.Л.;;;;;;;;
ПОНЕДІЛОК    12.09;2;Філософія                  доц.Долголенко І.А.;Педагогічне оцінювання та моніторинг викл.ЛунгуЛ.В.;Економіка підприємства доц.Сорока Л.М.;Вища матем.                      доц. Івлієва О.М.;;;;;;;;;
ПОНЕДІЛОК    12.09;3;;Філософія                  доц.Долголенко І.А.;Філософія                  доц.Долголенко І.А.;Філософія                  доц.Долголенко І.А.;Філософія                  доц.Долголенко І.А.;;;;;;;;
ПОНЕДІЛОК    12.09;4;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;ТОІ та ІКТ                              викл. Дмитрієва М.В.;Комп.мережі та Інтернет                    викл. Коваленко О.В.;Основи наукових досліджень                                  доц.Криворак А.Д.;Основи наукових досліджень                                  доц.Криворак А.Д.;ППЗ                                 викл. Кожухар Ж.В.;;;;;;;;
